age,annual_income,total_debt,credit_limit,current_balance,num_late_payments_12m,employment_years,credit_risk
56.0,39444.37,67160.47,16300.0,3701.08,0.0,24.0,0
66.0,40330.88,33959.74,7400.0,3233.68,0.0,25.6,0
69.0,31497.16,40687.31,,5937.42,,5.9,0
49.0,18415.57,18694.19,3700.0,585.84,2.0,18.8,0
21.0,15000.0,13417.78,2400.0,1076.15,1.0,0.4,0
47.0,110998.46,75380.94,22800.0,9178.45,2.0,9.8,0
54.0,21325.61,6436.0,8100.0,2253.03,0.0,,1
40.0,138677.38,182770.07,37700.0,7374.22,0.0,15.2,0
56.0,84427.27,121692.82,34800.0,8288.38,1.0,7.8,1
62.0,42471.43,40251.43,,4558.97,1.0,17.2,0
32.0,78421.49,193489.4,12300.0,2171.58,0.0,12.5,0
60.0,69918.11,108328.88,25500.0,10974.69,2.0,8.6,0
46.0,27971.33,65116.54,5100.0,2949.52,0.0,14.2,0
53.0,53691.68,78308.78,20800.0,1786.68,0.0,14.7,0
30.0,30094.47,,6000.0,816.75,0.0,0.2,0
49.0,80215.88,199611.52,20300.0,4161.01,1.0,24.6,0
24.0,35272.8,79908.93,13300.0,1838.32,1.0,0.4,0
68.0,51124.66,67642.15,22300.0,7407.88,3.0,23.7,0
39.0,49817.45,34742.67,13000.0,4471.36,0.0,11.8,1
45.0,58276.1,38031.16,23200.0,5590.37,2.0,17.0,1
19.0,146903.77,,30400.0,5506.51,0.0,0.7,0
59.0,46883.62,,18400.0,4179.6,2.0,10.4,1
62.0,112505.38,185478.74,39100.0,6015.68,0.0,0.4,0
,72257.99,125798.09,15000.0,10160.93,2.0,3.6,1
,126885.65,65252.38,30500.0,7375.22,0.0,14.5,0
45.0,44220.27,80587.91,8400.0,2659.37,1.0,22.6,0
61.0,82263.41,157801.85,21800.0,12729.03,0.0,35.3,0
61.0,52283.66,46989.12,11000.0,1236.88,1.0,36.3,0
37.0,15000.0,18983.02,5100.0,856.42,0.0,9.2,0
47.0,28172.28,59921.26,12600.0,1269.14,0.0,9.7,0
28.0,76835.82,105823.35,11800.0,5331.07,1.0,7.9,0
45.0,73847.61,121613.23,23100.0,7489.67,0.0,12.2,0
42.0,24909.72,26149.3,8000.0,444.36,0.0,4.4,0
56.0,61834.73,,26200.0,10368.44,0.0,32.5,0
50.0,73273.63,186101.02,22100.0,3271.11,2.0,28.2,0
18.0,53061.17,77962.32,16600.0,7452.45,0.0,0.0,0
44.0,83892.47,78986.72,24500.0,8423.41,0.0,2.0,0
69.0,77306.49,143106.61,17800.0,5155.63,0.0,19.8,0
30.0,,86041.1,8800.0,3710.9,0.0,9.6,0
58.0,39875.01,25933.18,10900.0,2715.13,0.0,36.1,0
20.0,101267.92,222747.04,,735.99,0.0,0.4,0
56.0,71531.79,20907.15,22500.0,8227.62,2.0,2.5,0
23.0,23650.52,36044.72,5700.0,232.02,0.0,4.4,0
,61854.4,83563.23,19200.0,9664.47,,2.7,0
44.0,27156.87,22475.59,5200.0,872.41,0.0,14.1,0
26.0,30371.48,66633.89,13100.0,3887.92,0.0,7.7,1
54.0,36638.47,66481.9,15300.0,6369.43,0.0,2.4,0
50.0,,108263.75,11500.0,2589.23,0.0,20.7,0
68.0,67825.35,70523.92,,212.98,0.0,,0
59.0,42388.61,102834.73,14200.0,2967.34,0.0,15.4,0
61.0,43516.28,38542.34,7800.0,1039.64,1.0,34.6,0
41.0,40056.8,56143.2,10300.0,2963.3,0.0,10.0,0
32.0,101570.48,242260.49,22900.0,,0.0,14.0,0
49.0,,4365.58,6400.0,1245.99,0.0,17.3,0
49.0,45016.91,16532.29,18300.0,4286.52,1.0,10.0,0
41.0,136897.93,356119.1,44300.0,15863.48,1.0,5.1,0
58.0,73890.39,185816.47,22600.0,6375.29,1.0,14.0,0
69.0,115856.58,233010.84,49700.0,9494.07,0.0,19.0,0
66.0,15985.71,23172.95,6900.0,3822.72,4.0,3.3,0
,25710.39,33893.82,,1366.27,0.0,17.7,0
69.0,73749.46,57621.65,13800.0,10198.37,1.0,23.7,0
29.0,137362.45,154228.09,27200.0,5625.6,1.0,8.0,0
56.0,27316.83,34852.9,9600.0,5395.16,1.0,25.0,0
,42930.72,7799.94,13400.0,3926.51,0.0,0.7,1
20.0,68932.19,78794.73,10700.0,701.76,0.0,0.0,0
66.0,22663.27,28904.18,3800.0,1719.9,2.0,10.4,1
54.0,74088.44,129655.68,30900.0,6338.59,0.0,23.8,0
66.0,15000.0,23467.14,6200.0,4100.16,0.0,23.2,0
34.0,72790.71,167137.14,18700.0,10330.86,0.0,0.1,1
66.0,29820.43,31168.8,12400.0,3766.67,0.0,38.6,0
19.0,41416.79,43698.75,13600.0,1275.78,0.0,,0
19.0,80107.95,122963.59,31400.0,8512.86,0.0,0.5,0
45.0,70852.2,37881.98,19700.0,1973.6,0.0,1.8,0
40.0,53917.55,55875.48,9900.0,2834.35,2.0,16.9,0
54.0,96898.99,183622.76,27100.0,17400.42,0.0,21.0,0
49.0,19533.66,20820.17,5600.0,709.84,2.0,24.2,1
50.0,61245.68,142094.09,19300.0,3278.23,0.0,24.1,0
18.0,33721.74,55081.22,6100.0,3208.71,0.0,0.0,0
36.0,93978.27,46805.61,42000.0,10678.54,0.0,9.3,0
19.0,81816.99,104392.14,18300.0,4689.07,0.0,0.1,0
61.0,83617.57,164037.27,17500.0,4164.92,0.0,28.9,0
43.0,145397.86,241124.68,44800.0,7272.15,1.0,15.5,0
49.0,106490.23,245558.8,33100.0,9879.0,1.0,,0
23.0,49293.48,94914.07,13900.0,2490.9,1.0,0.8,0
49.0,54135.17,9966.12,20700.0,1627.44,1.0,6.0,0
21.0,77696.31,30100.6,23700.0,8246.06,,2.7,0
28.0,58788.69,101875.37,19600.0,6380.68,0.0,7.5,0
,82710.68,57945.96,30400.0,8648.75,1.0,14.5,0
55.0,15000.0,22657.48,2400.0,613.67,0.0,28.1,0
41.0,167457.04,344973.0,50000.0,13316.97,0.0,13.7,0
22.0,,92103.99,23300.0,11049.54,0.0,2.6,1
69.0,20466.01,21467.39,3200.0,208.91,1.0,45.3,0
51.0,31310.98,51195.81,8500.0,607.42,0.0,19.1,0
23.0,15099.3,9726.55,6500.0,4305.17,1.0,3.2,0
39.0,28165.66,56004.44,7200.0,5080.36,0.0,3.3,0
28.0,49744.29,91009.23,14300.0,4326.68,0.0,4.7,0
65.0,134434.02,197308.74,50000.0,24425.46,2.0,33.7,0
33.0,69314.18,51190.78,14500.0,2876.46,2.0,4.1,1
50.0,62299.98,129846.35,10600.0,5625.83,0.0,6.5,0
26.0,27417.51,36200.49,11200.0,1205.44,1.0,2.5,0
23.0,33034.54,8799.74,13600.0,3912.54,0.0,1.2,1
33.0,34608.11,81466.49,10100.0,1987.88,0.0,3.2,0
46.0,35465.75,,10800.0,209.61,0.0,11.9,0
20.0,43874.03,65622.19,17600.0,1477.79,0.0,,0
,45907.94,53738.41,17100.0,3604.01,2.0,9.6,0
53.0,44203.22,108265.54,10100.0,2188.9,0.0,6.6,0
36.0,36214.16,71760.06,5600.0,1593.26,1.0,1.4,0
43.0,58749.15,87486.28,17300.0,8910.31,1.0,17.4,0
20.0,44862.21,76014.99,18300.0,2760.17,1.0,,0
36.0,20798.99,16388.86,,1790.55,0.0,14.8,0
37.0,55305.58,35881.38,24200.0,8820.92,0.0,12.5,0
49.0,50510.76,39215.83,20900.0,4701.88,,24.7,0
24.0,20998.86,17523.11,6800.0,,3.0,1.6,1
69.0,37995.35,72861.68,10800.0,2595.13,1.0,35.3,0
58.0,77516.3,43204.91,29600.0,16062.38,1.0,10.6,1
50.0,27395.39,57415.17,10200.0,4159.41,0.0,30.1,0
57.0,25711.47,36867.59,8000.0,3224.43,2.0,24.8,0
56.0,44581.3,43466.68,7900.0,604.76,0.0,,0
35.0,78728.41,64330.01,33700.0,5205.74,2.0,,0
57.0,160523.65,229439.88,46000.0,23487.79,1.0,7.4,0
18.0,80447.59,70380.43,20800.0,6521.44,0.0,0.0,0
28.0,103870.13,122701.68,35200.0,11183.59,0.0,2.2,1
45.0,66703.89,125814.64,23500.0,2576.65,0.0,16.1,0
42.0,35915.72,56684.13,7700.0,476.16,1.0,6.4,0
67.0,80099.64,171838.28,32100.0,22055.48,0.0,32.4,1
40.0,51463.86,94612.79,12200.0,2881.84,,17.9,0
48.0,67929.13,146477.01,14000.0,8059.1,0.0,23.3,1
47.0,30711.18,20297.81,8400.0,4812.47,1.0,22.1,0
59.0,71672.86,186270.26,26500.0,,0.0,7.7,0
,50397.41,61996.54,22200.0,2052.54,0.0,3.0,0
24.0,62240.09,116282.47,24400.0,4525.26,0.0,4.2,0
33.0,51480.38,97758.49,22200.0,10531.4,0.0,5.5,0
43.0,45875.12,66584.55,8800.0,1654.04,2.0,10.8,0
65.0,72461.78,188296.89,12400.0,7900.35,0.0,1.5,0
69.0,42461.17,24126.04,13500.0,1057.33,0.0,13.2,0
66.0,20885.01,24790.56,5000.0,2771.03,0.0,1.6,0
19.0,,7252.53,7000.0,1632.59,1.0,0.9,1
18.0,60515.21,34611.74,21300.0,7102.21,1.0,0.0,0
65.0,41426.22,81025.03,18300.0,7186.51,1.0,26.2,0
29.0,19197.6,1587.71,4300.0,1355.29,0.0,0.4,0
,57752.45,130271.64,17100.0,1798.33,0.0,2.7,0
54.0,51209.24,87830.96,15400.0,6768.72,,11.6,0
49.0,40144.14,48309.6,8900.0,4060.21,0.0,27.8,0
26.0,62823.57,58831.89,20500.0,6788.67,1.0,7.1,0
58.0,,40116.79,33700.0,2468.37,0.0,13.0,0
52.0,117096.59,279707.66,33300.0,9928.07,0.0,30.6,0
36.0,59057.03,108190.66,15300.0,3021.56,0.0,17.9,0
65.0,51491.59,44029.16,8000.0,725.63,1.0,38.8,0
33.0,59554.14,13611.18,18300.0,3049.82,1.0,12.7,0
20.0,65212.35,62495.06,16300.0,9398.7,0.0,0.5,0
37.0,46120.88,23332.62,6900.0,2043.88,0.0,11.0,1
41.0,60157.77,123781.23,14600.0,,0.0,1.5,0
50.0,21074.57,39667.94,4900.0,1754.86,2.0,3.0,1
41.0,56886.27,74400.02,,,0.0,23.0,0
69.0,72120.11,161881.38,13700.0,2163.99,1.0,,0
28.0,40380.2,20829.09,12200.0,2589.28,1.0,7.5,0
,51160.16,64826.09,18300.0,,3.0,38.7,0
25.0,27808.49,55306.84,9400.0,,1.0,,0
53.0,25586.29,5190.53,10000.0,853.5,0.0,34.9,0
55.0,61481.34,60223.47,17600.0,2941.71,1.0,8.9,0
57.0,34970.57,53488.11,10700.0,3509.5,2.0,,0
37.0,18655.66,19158.95,7300.0,2051.54,0.0,7.8,1
,27803.94,37148.67,7700.0,3770.11,0.0,4.4,0
65.0,30338.49,49447.6,10900.0,3324.12,0.0,,0
42.0,86227.83,89271.31,24200.0,9857.5,1.0,8.7,0
52.0,60322.98,24218.6,16600.0,,1.0,26.6,1
42.0,32113.72,15477.3,12100.0,4282.1,1.0,13.6,0
46.0,38076.04,53600.0,7700.0,3434.44,0.0,8.8,0
35.0,119044.26,69757.6,29900.0,17753.11,0.0,11.1,0
63.0,95002.78,215537.36,20600.0,4195.68,0.0,10.4,0
35.0,27699.34,60563.4,7100.0,,,0.2,1
19.0,108892.4,96408.75,,1391.4,0.0,0.8,0
52.0,51617.84,109996.0,16700.0,2761.59,2.0,21.2,0
33.0,87532.64,131368.03,34100.0,,0.0,11.4,0
58.0,49119.69,29215.44,19000.0,9684.11,,1.6,0
53.0,110359.39,172536.08,28600.0,3075.97,0.0,,0
50.0,27017.16,49638.44,12100.0,3746.34,0.0,19.8,0
21.0,46477.79,20908.06,15300.0,11160.32,0.0,1.7,1
50.0,112406.37,101166.33,30300.0,12800.0,0.0,20.0,0
31.0,15000.0,557.77,6000.0,355.87,0.0,11.2,0
38.0,52699.6,49832.76,19400.0,8143.58,0.0,11.7,0
65.0,42781.98,37710.7,16000.0,1833.16,0.0,27.3,0
37.0,,133217.81,17100.0,4499.31,0.0,18.8,0
25.0,102944.79,56549.07,29900.0,5322.9,0.0,5.3,0
24.0,83966.26,10334.05,34300.0,4017.48,0.0,2.7,0
20.0,62604.98,52649.11,18900.0,3248.38,,1.4,0
34.0,55511.12,119072.84,19700.0,4495.18,1.0,6.2,0
50.0,44106.99,48740.01,14400.0,4727.28,1.0,7.3,0
65.0,61450.27,71381.72,24700.0,7612.66,0.0,28.1,0
29.0,130065.43,165415.78,30600.0,12905.1,1.0,10.2,0
68.0,32915.29,65967.79,10600.0,4104.42,0.0,46.5,0
39.0,,53814.64,8000.0,2735.85,0.0,7.2,0
39.0,51776.62,,18500.0,939.71,0.0,11.1,0
63.0,98771.03,61783.41,36500.0,10817.61,0.0,9.5,0
47.0,61943.71,30491.46,10100.0,,1.0,28.9,0
55.0,97742.24,133913.1,34500.0,,1.0,36.3,0
55.0,100756.9,10264.77,27600.0,2725.77,0.0,24.0,0
62.0,77282.44,60579.21,14500.0,5782.75,1.0,35.4,0
68.0,28612.64,47670.54,7900.0,4236.91,1.0,35.8,0
25.0,146775.04,132879.45,30600.0,2744.78,0.0,4.2,0
44.0,126428.02,234641.92,34700.0,10955.3,0.0,1.4,1
44.0,56281.66,61232.1,14900.0,6185.63,0.0,11.8,0
,23645.73,60925.56,8800.0,3037.41,0.0,22.3,0
38.0,21241.27,,8100.0,722.88,0.0,,0
47.0,63107.15,130404.55,21000.0,4215.38,0.0,10.8,1
50.0,35559.04,85976.3,5600.0,1133.27,0.0,30.1,0
45.0,19335.28,13506.73,8300.0,3608.12,0.0,4.5,0
64.0,21002.16,41649.99,7500.0,2222.47,1.0,23.0,0
50.0,40864.23,35408.42,6500.0,2547.59,1.0,22.1,0
22.0,60898.13,119162.25,24100.0,8739.58,0.0,2.8,0
65.0,125923.24,125349.89,26500.0,7645.2,1.0,30.5,0
36.0,72441.34,57740.84,23500.0,5325.79,1.0,5.0,0
21.0,43094.79,105280.16,12500.0,1982.48,0.0,0.5,0
52.0,68048.08,37230.17,18800.0,1524.42,0.0,21.6,0
66.0,64494.84,124260.94,26900.0,1951.54,1.0,28.8,0
34.0,84434.14,149072.03,23700.0,6658.62,1.0,2.9,0
61.0,52893.45,44475.43,9100.0,4345.48,1.0,,1
45.0,100883.2,128997.49,43800.0,13399.71,,12.3,1
47.0,88847.0,45580.18,37900.0,13830.02,0.0,19.4,0
46.0,56932.41,137010.78,20200.0,5894.22,0.0,,0
63.0,,122670.86,14600.0,600.03,,7.6,0
23.0,94075.14,177039.6,16700.0,4773.19,,,1
52.0,35309.79,79302.76,13700.0,4320.63,0.0,26.5,0
58.0,21939.24,6494.07,3800.0,1962.66,1.0,24.4,0
54.0,21864.54,23179.1,3700.0,2190.86,1.0,25.2,0
,33596.44,30502.14,10500.0,,1.0,19.3,1
46.0,80482.2,121147.94,15900.0,7476.58,1.0,22.5,0
66.0,42037.64,,6400.0,2868.95,1.0,46.1,0
63.0,61249.42,88868.71,17000.0,2601.76,1.0,24.1,0
48.0,40248.27,66608.19,7700.0,765.51,1.0,,0
52.0,40440.44,15317.37,8000.0,1936.33,0.0,13.7,0
50.0,29281.81,10637.23,,994.68,,4.9,0
69.0,,8233.29,10800.0,3692.89,1.0,29.2,0
38.0,48771.52,100155.94,17800.0,7381.24,,5.5,0
49.0,69397.01,63431.53,27300.0,6004.02,0.0,28.6,0
40.0,64383.88,42461.5,,6177.89,0.0,12.8,0
50.0,48132.44,96174.0,14500.0,2545.05,0.0,19.0,0
,21946.14,8327.85,3500.0,468.08,1.0,0.7,0
35.0,102985.93,,17600.0,1453.14,0.0,0.9,0
42.0,51481.27,96379.62,11700.0,523.21,1.0,0.8,1
59.0,56828.07,82963.73,17800.0,1439.27,0.0,17.4,0
48.0,141534.25,207478.55,50000.0,11453.56,0.0,2.5,0
20.0,93426.78,42347.36,,5569.11,1.0,1.2,0
57.0,70818.07,35588.07,19000.0,3554.8,1.0,34.4,0
63.0,54101.46,85009.06,10000.0,6215.86,0.0,39.7,0
41.0,53799.14,14439.4,20700.0,11269.71,0.0,15.2,0
67.0,62571.72,141863.81,16200.0,5908.29,,10.4,0
49.0,69157.66,67326.42,25600.0,6732.07,0.0,26.8,0
64.0,151272.94,167122.77,46000.0,,0.0,40.8,1
39.0,238938.06,177813.3,50000.0,23440.0,0.0,4.1,0
40.0,64482.97,154098.35,27200.0,12772.46,1.0,16.2,1
19.0,15000.0,25894.37,6400.0,1800.47,0.0,0.3,0
44.0,30606.06,36063.37,9500.0,1638.56,1.0,,0
59.0,160636.31,248749.49,48700.0,13694.88,1.0,40.9,0
19.0,83382.32,82964.53,19200.0,3674.28,0.0,0.0,0
43.0,69956.43,83908.65,30100.0,2482.43,0.0,22.4,0
34.0,49015.76,,14100.0,5980.3,0.0,10.0,0
57.0,26544.74,,5000.0,1445.6,2.0,38.0,1
50.0,148252.75,120240.87,41500.0,3500.52,1.0,14.9,0
26.0,33059.82,8815.87,6200.0,2398.87,0.0,6.8,0
60.0,83917.3,9405.75,25200.0,1570.75,0.0,2.6,0
65.0,24824.32,11746.49,7900.0,,1.0,15.8,0
56.0,47609.65,35157.55,12000.0,5206.59,2.0,,1
46.0,98299.51,223181.01,16900.0,4348.64,1.0,27.3,0
59.0,46638.59,78449.24,,7179.8,1.0,33.5,0
43.0,43431.06,110158.57,16600.0,6108.92,2.0,21.3,1
52.0,54523.21,58768.13,21900.0,12471.54,0.0,31.9,1
